id,first_name,middle_name,last_name,name_suffix,salutation,salutation_standardized,date_of_birth,email_address,phone,home_address,home_unit,home_city,home_state,home_zip_code,party,race,gender,status,registration_date,registration_source,shift_id,shift_type,office,program_state,partner_id,field_start,field_end,shift_start,shift_end,citizenship_confirmed,phone_type,submitted_via_state_api,evc_id
15,Kevin,,Brown,,Mr.,Mr.,1969-06-03,kevin.brown@gmail.com,3475551313,159 Magnolia Dr,,Brooklyn,NY,11213,Independent,Black,Male,Complete,2025-02-08,Phone,S013,Canvass,Brooklyn Office,NY,P07,2025-02-08 09:00,2025-02-08 17:00,2025-02-08 09:00,2025-02-08 17:00,TRUE,Landline,FALSE,EVC015
16,Sophia,,Martinez,,Ms.,Ms.,2001-01-30,sophia.martinez@yahoo.com,9175551414,753 Willow Way,,Manhattan,NY,10025,Democrat,Hispanic,Female,Incomplete,2025-03-11,Online,S014,Phone Bank,Manhattan Office,NY,P07,2025-03-11 10:00,2025-03-11 18:00,2025-03-11 10:00,2025-03-11 18:00,TRUE,Mobile,FALSE,EVC016
17,Anthony,,Davis,,Mr.,Mr.,1980-04-19,anthony.davis@outlook.com,1234567890,864 Sycamore St,,Bronx,NY,10459,Democrat,Black,Male,Complete,2025-04-02,Online,S015,Canvass,Bronx Office,NY,P08,2025-04-02 09:00,2025-04-02 17:00,2025-04-02 09:00,2025-04-02 17:00,TRUE,Mobile,FALSE,EVC017
18,Rachel,,Green,,Ms.,Ms.,1993-07-14,rachel.green@gmail.com,7185551616,975 Juniper Rd,Apt 5A,Queens,NY,11368,Democrat,White,Female,Complete,2025-01-19,Mail,S016,Canvass,Queens Office,NY,P08,2025-01-19 09:00,2025-01-19 17:00,2025-01-19 09:00,2025-01-19 17:00,TRUE,Mobile,TRUE,EVC018
19,Thomas,,Wilson,,Mr.,Mr.,1960-11-22,thomas.wilson@hotmail.com,2125551717,246 Beech Blvd,,Staten Island,NY,10306,Republican,White,Male,Incomplete,2025-03-25,Phone,S017,Phone Bank,Staten Island Office,NY,P09,2025-03-25 10:00,2025-03-25 18:00,2025-03-25 10:00,2025-03-25 18:00,TRUE,Landline,FALSE,EVC019
20,Amara,,Osei,,Ms.,Ms.,1998-09-06,amara.osei@gmail.com,9295551818,357 Linden Lane,,Harlem,NY,10030,Democrat,Black,Female,Complete,2025-02-27,Online,S018,Canvass,Manhattan Office,NY,P09,2025-02-27 09:00,2025-02-27 17:00,2025-02-27 09:00,2025-02-27 17:00,TRUE,Mobile,FALSE,EVC020
21,Daniel,,Park,,Mr.,Mr.,1987-03-01,daniel.park@gmail.com,6465551919,468 Aspen Ave,,Flushing,NY,11355,Democrat,Asian,Male,Complete,2025-03-09,Online,S019,Phone Bank,Queens Office,NY,P10,2025-03-09 10:00,2025-03-09 18:00,2025-03-09 10:00,2025-03-09 18:00,TRUE,Mobile,FALSE,EVC021
22,Isabella,,Lopez,,Ms.,Ms.,2003-05-28,isabella.lopez@yahoo.com,9175552020,579 Dogwood Dr,,Brooklyn,NY,11220,Democrat,Hispanic,Female,Incomplete,2025-04-08,Online,S020,Canvass,Brooklyn Office,NY,P10,2025-04-08 09:00,2025-04-08 17:00,2025-04-08 09:00,2025-04-08 17:00,TRUE,Mobile,FALSE,EVC022
23,Marcus,,Johnson,,Mr.,Mr.,1972-08-15,marcus.j@,3475552121,681 Cottonwood Ct,,Bronx,NY,10453,Independent,Black,Male,Complete,2025-03-14,Mail,S021,Canvass,Bronx Office,NY,P11,2025-03-14 09:00,2025-03-14 17:00,2025-03-14 09:00,2025-03-14 17:00,TRUE,Landline,FALSE,EVC023
24,Elena,,Vasquez,,Ms.,Ms.,1996-12-04,elena.vasquez@gmail.com,7185552222,792 Pecan Place,,Queens,NY,11374,Democrat,Hispanic,Female,Complete,2025-02-03,Phone,S022,Phone Bank,Queens Office,NY,P11,2025-02-03 10:00,2025-02-03 18:00,2025-02-03 10:00,2025-02-03 18:00,TRUE,Mobile,TRUE,EVC024
25,Christopher,,Taylor,,Mr.,Mr.,1965-01-17,chris.taylor@outlook.com,2125552323,813 Palmetto Rd,,Manhattan,NY,10035,Republican,White,Male,Complete,2025-01-07,Online,S023,Canvass,Manhattan Office,NY,P12,2025-01-07 09:00,2025-01-07 17:00,2025-01-07 09:00,2025-01-07 17:00,TRUE,Mobile,FALSE,EVC025
26,Nadia,,Ahmed,,Ms.,Ms.,1989-06-09,nadia.ahmed@gmail.com,9295552424,924 Redwood Blvd,Unit 1,Brooklyn,NY,11225,Democrat,Black,Female,Complete,2025-03-30,Online,S024,Phone Bank,Brooklyn Office,NY,P12,2025-03-30 10:00,2025-03-30 18:00,2025-03-30 10:00,2025-03-30 18:00,TRUE,Mobile,FALSE,EVC026
27,Jason,,Moore,,Mr.,Mr.,1994-10-21,jason.moore@hotmail.com,6465552525,135 Sequoia St,,Bronx,NY,10460,Democrat,Black,Male,Incomplete,2025-02-17,Mail,S025,Canvass,Bronx Office,NY,P13,2025-02-17 09:00,2025-02-17 17:00,2025-02-17 09:00,2025-02-17 17:00,TRUE,Landline,FALSE,EVC027
28,Mei,,Zhang,,Ms.,Ms.,2000-04-13,mei.zhang@gmail.com,9175552626,246 Bamboo Ave,,Flushing,NY,11358,Democrat,Asian,Female,Complete,2025-04-06,Online,S026,Phone Bank,Queens Office,NY,P13,2025-04-06 10:00,2025-04-06 18:00,2025-04-06 10:00,2025-04-06 18:00,TRUE,Mobile,TRUE,EVC028
29,William,,Anderson,,Mr.,Mr.,1955-07-26,william.anderson@yahoo.com,3475552727,357 Eucalyptus Dr,,Staten Island,NY,10314,Republican,White,Male,Complete,2025-03-03,Phone,S027,Canvass,Staten Island Office,NY,P14,2025-03-03 09:00,2025-03-03 17:00,2025-03-03 09:00,2025-03-03 17:00,TRUE,Landline,FALSE,EVC029
30,Zara,,Ali,,Ms.,Ms.,1999-02-18,zara.ali@gmail.com,7185552828,468 Acacia Rd,,Queens,NY,11385,Democrat,Asian,Female,Incomplete,2025-01-25,Online,S028,Phone Bank,Queens Office,NY,P14,2025-01-25 10:00,2025-01-25 18:00,2025-01-25 10:00,2025-01-25 18:00,TRUE,Mobile,FALSE,EVC030
31,Brandon,,Jackson,,Mr.,Mr.,1982-11-05,brandon.jackson@gmail.com,2125552929,579 Willow Wisp Way,,Harlem,NY,10031,Democrat,Black,Male,Complete,2025-02-11,Online,S029,Canvass,Manhattan Office,NY,P15,2025-02-11 09:00,2025-02-11 17:00,2025-02-11 09:00,2025-02-11 17:00,TRUE,Mobile,FALSE,EVC031
32,Camille,,Dubois,,Ms.,Ms.,1991-08-31,camille.dubois@outlook.com,9295553030,681 Catalpa Ct,,Brooklyn,NY,11229,Democrat,Black,Female,Complete,2025-03-20,Mail,S030,Phone Bank,Brooklyn Office,NY,P15,2025-03-20 10:00,2025-03-20 18:00,2025-03-20 10:00,2025-03-20 18:00,TRUE,Mobile,TRUE,EVC032
33,Oscar,,Hernandez,,Mr.,Mr.,1977-05-14,oscar.hernandez@hotmail.com,6465553131,792 Tulip Tree Rd,,Bronx,NY,10457,Democrat,Hispanic,Male,Complete,2025-04-03,Online,S031,Canvass,Bronx Office,NY,P16,2025-04-03 09:00,2025-04-03 17:00,2025-04-03 09:00,2025-04-03 17:00,TRUE,Mobile,FALSE,EVC033
34,Hannah,,Scott,,Ms.,Ms.,1986-01-23,hannah.scott@gmail.com,9175553232,813 Maplewood Ave,Apt 7C,Queens,NY,11104,Independent,White,Female,Incomplete,2025-02-25,Phone,S032,Phone Bank,Queens Office,NY,P16,2025-02-25 10:00,2025-02-25 18:00,2025-02-25 10:00,2025-02-25 18:00,TRUE,Landline,FALSE,EVC034
35,Victor,,Reyes,,Mr.,Mr.,1973-09-08,victor.reyes@yahoo.com,3475553333,924 Ironwood Blvd,,Manhattan,NY,10039,Democrat,Hispanic,Male,Complete,2025-03-07,Online,S033,Canvass,Manhattan Office,NY,P17,2025-03-07 09:00,2025-03-07 17:00,2025-03-07 09:00,2025-03-07 17:00,TRUE,Mobile,FALSE,EVC035
36,Leila,,Nasser,,Ms.,Ms.,2002-06-16,leila.nasser@gmail.com,7185553434,135 Butternut St,,Brooklyn,NY,11235,Democrat,Asian,Female,Complete,2025-01-14,Online,S034,Phone Bank,Brooklyn Office,NY,P17,2025-01-14 10:00,2025-01-14 18:00,2025-01-14 10:00,2025-01-14 18:00,TRUE,Mobile,FALSE,EVC036
37,Patrick,,O'Brien,,Mr.,Mr.,1959-03-27,patrick.obrien@hotmail.com,2125553535,246 Boxwood Dr,,Staten Island,NY,10312,Republican,White,Male,Complete,2025-04-07,Mail,S035,Canvass,Staten Island Office,NY,P18,2025-04-07 09:00,2025-04-07 17:00,2025-04-07 09:00,2025-04-07 17:00,TRUE,Landline,FALSE,EVC037
38,Destiny,,Washington,,Ms.,Ms.,1994-12-11,destiny.washington@gmail.com,9295553636,357 Sweetgum Lane,,Queens,NY,11412,Democrat,Black,Female,Incomplete,2025-02-06,Online,S036,Phone Bank,Queens Office,NY,P18,2025-02-06 10:00,2025-02-06 18:00,2025-02-06 10:00,2025-02-06 18:00,TRUE,Mobile,TRUE,EVC038
39,Adrian,,Flores,,Mr.,Mr.,1984-07-04,adrian.flores@outlook.com,6465553737,468 Sweetbay Magnolia,,Bronx,NY,10462,Democrat,Hispanic,Male,Complete,2025-03-16,Online,S037,Canvass,Bronx Office,NY,P19,2025-03-16 09:00,2025-03-16 17:00,2025-03-16 09:00,2025-03-16 17:00,TRUE,Mobile,FALSE,EVC039
40,Nina,,Okafor,,Ms.,Ms.,1990-10-28,nina.okafor@gmail.com,9175553838,579 Serviceberry Rd,,Brooklyn,NY,11233,Democrat,Black,Female,Complete,2025-01-31,Phone,S038,Phone Bank,Brooklyn Office,NY,P19,2025-01-31 10:00,2025-01-31 18:00,2025-01-31 10:00,2025-01-31 18:00,TRUE,Mobile,FALSE,EVC040
41,Samuel,,White,,Mr.,Mr.,1967-04-09,samuel.white@yahoo.com,3475553939,681 Persimmon Ave,,Harlem,NY,10037,Independent,White,Male,Complete,2025-03-26,Online,S039,Canvass,Manhattan Office,NY,P20,2025-03-26 09:00,2025-03-26 17:00,2025-03-26 09:00,2025-03-26 17:00,TRUE,Landline,FALSE,EVC041
42,Keisha,,Robinson,,Ms.,Ms.,1979-01-16,keisha.robinson@gmail.com,7185554040,792 Elderberry Blvd,,Queens,NY,11432,Democrat,Black,Female,Incomplete,2025-02-21,Mail,S040,Phone Bank,Queens Office,NY,P20,2025-02-21 10:00,2025-02-21 18:00,2025-02-21 10:00,2025-02-21 18:00,TRUE,Mobile,FALSE,EVC042
43,Ethan,,Clark,,Mr.,Mr.,1996-08-22,ethan.clark@gmail.com,2125554141,813 Pawpaw Place,,Brooklyn,NY,11207,Democrat,White,Male,Complete,2025-04-04,Online,S041,Canvass,Brooklyn Office,NY,P21,2025-04-04 09:00,2025-04-04 17:00,2025-04-04 09:00,2025-04-04 17:00,TRUE,Mobile,FALSE,EVC043
44,Rosa,,Gutierrez,,Ms.,Ms.,1988-05-03,rosa.gutierrez@hotmail.com,9295554242,924 Hackberry Dr,,Bronx,NY,10467,Democrat,Hispanic,Female,Complete,2025-03-01,Online,S042,Phone Bank,Bronx Office,NY,P21,2025-03-01 10:00,2025-03-01 18:00,2025-03-01 10:00,2025-03-01 18:00,TRUE,Mobile,TRUE,EVC044
45,Jordan,,Harris,,Mr.,Mr.,1993-11-14,jordan.harris@outlook.com,6465554343,135 Hawthorn Rd,,Queens,NY,11421,Democrat,Black,Male,Incomplete,2025-01-22,Phone,S043,Canvass,Queens Office,NY,P22,2025-01-22 09:00,2025-01-22 17:00,2025-01-22 09:00,2025-01-22 17:00,TRUE,Mobile,FALSE,EVC045
46,Abby,,Nelson,,Ms.,Ms.,1971-02-07,abby.nelson@gmail.com,9175554444,246 Osage Orange Blvd,,Staten Island,NY,10308,Republican,White,Female,Complete,2025-03-13,Online,S044,Phone Bank,Staten Island Office,NY,P22,2025-03-13 10:00,2025-03-13 18:00,2025-03-13 10:00,2025-03-13 18:00,TRUE,Landline,FALSE,EVC046
47,Theo,,Brooks,,Mr.,Mr.,1985-09-19,theo.brooks@yahoo.com,3475554545,357 Chokecherry Lane,,Manhattan,NY,10040,Democrat,White,Male,Complete,2025-02-16,Mail,S045,Canvass,Manhattan Office,NY,P23,2025-02-16 09:00,2025-02-16 17:00,2025-02-16 09:00,2025-02-16 17:00,TRUE,Mobile,FALSE,EVC047
48,Jasmine,,Turner,,Ms.,Ms.,1997-06-30,jasmine.turner@gmail.com,7185554646,468 Mulberry St,Unit 3,Brooklyn,NY,11221,Democrat,Black,Female,Complete,2025-03-24,Online,S046,Phone Bank,Brooklyn Office,NY,P23,2025-03-24 10:00,2025-03-24 18:00,2025-03-24 10:00,2025-03-24 18:00,TRUE,Mobile,TRUE,EVC048
49,Felix,,Nguyen,,Mr.,Mr.,1981-03-12,felix.nguyen@gmail.com,2125554747,579 Sassafras Ave,,Queens,NY,11373,Democrat,Asian,Male,Complete,2025-04-09,Online,S047,Canvass,Queens Office,NY,P24,2025-04-09 09:00,2025-04-09 17:00,2025-04-09 09:00,2025-04-09 17:00,TRUE,Mobile,FALSE,EVC049
50,Grace,,Lee,,Ms.,Ms.,1992-07-25,grace.lee@hotmail.com,9295554848,681 Tuliptree Ct,,Bronx,NY,10466,Democrat,Asian,Female,Incomplete,2025-02-28,Phone,S048,Phone Bank,Bronx Office,NY,P24,2025-02-28 10:00,2025-02-28 18:00,2025-02-28 10:00,2025-02-28 18:00,TRUE,Mobile,FALSE,EVC050
